indicator,ISO Country code,population,population,population,population,population,surface area (Km2),,GINI index,happy planet index,happy planet index,happy planet index,happy planet index,happy planet index,human development index,human development index,human development index,human development index,human development index,sustainable economic development assessment (SEDA),,"GDP growth
(annual %)","GDP growth
(annual %)","GDP growth
(annual %)","GDP growth
(annual %)","GDP growth
(annual %)","GDP 
($ USD billions PPP)","GDP 
($ USD billions PPP)","GDP 
($ USD billions PPP)","GDP 
($ USD billions PPP)",GDP per capita in $ (PPP),GDP per capita in $ (PPP),GDP per capita in $ (PPP),GDP per capita in $ (PPP),Economic Growth,,,"health expenditure 
% of GDP","health expenditure 
% of GDP","health expenditure 
% of GDP","health expenditure 
% of GDP","health expenditure 
% of GDP","health expenditure 
% of GDP","health expenditure 
% of GDP","health expenditure 
% of GDP","health expenditure 
per person","health expenditure 
per person","health expenditure 
per person",infant mortality,"maternal mortality per 100,000 live births",,"education expenditure
% of GDP","education expenditure
% of GDP","education expenditure
% of GDP",Education as % of GDP,Education as % of GDP,% of primary school aged kids out of school,% of primary school aged kids out of school,,unemployment (%),unemployment (%),unemployment (%),unemployment (%),unemployment (%),% of population in extreme poverty,% of population with access to electricity,,political rights score ,,civil liberties score ,,political stability & absence of violence,,government effectiveness,,regulatory quality,,rule of law,,control of corruption,,judicial effectiveness score,,government integrity score,,overall economic freedom score,,financial freedom score,,government expenditure (% of GDP),,CO2e emissions per capita,CO2e emissions per capita,CO2e emissions per capita,CO2e emissions per capita,CO2e emissions per capita,share of electricity from renewables generation,,% of seats held by women in national parliaments,% of seats held by women in national parliaments,% of seats held by women in national parliaments,% of seats held by women in national parliaments,% of seats held by women in national parliaments,Military Spending as % of GDP,Military Spending as % of GDP,Military Spending as % of GDP,Military Spending as % of GDP,Military Spending as % of GDP
Netherlands,NLD,"17,131,296","17,231,624","17,344,874","17,441,500","17,533,044","33,893",,30.30,35.30,53.10,54.00,54.90,56.80,0.93,0.94,0.94,0.94,0.94,80.30,,2.91,1.90,1.96,5.04,4.86,966.0,984.9,947.5,995.2,57826.63,59004.32,59266.91,63766.89,2.36,5.04,,5.46,5.35,5.48,5.18,5.36,-,-,5.36,"5,313",5337.0,5335.3,1.8,5,,5.53,5.36,-,5.36,-,-,-,,4.84,6.20,3.38,3.82,4.01,-,100.00,,40.00,39.00,59.00,58.00,0.92,0.92,1.85,1.77,2.05,1.75,1.83,1.74,1.87,2.04,74.10,96.90,86.00,92.30,76.20,79.50,80.00,80.00,45.00,,9.29,9.31,9.09,8.78,8.44,0.15,,36.00,36.00,31.00,33.30,39.33,9580.70,11114.90,12000.70,13085.70,13752.00
New Zealand,NZL,"4,813,600","4,900,600","4,979,200","5,090,200","5,122,600","264,537",,36.20,31.30,55.80,57.30,57.40,60.80,0.92,0.94,0.94,0.94,0.94,78.60,,3.58,3.40,2.19,4.65,3.71,210.0,214.7,212.0,221.8,42520.75,45554.81,44657.77,46419.51,3.36,4.65,,6.34,6.33,6.41,6.26,6.05,-,-,6.05,"3,530",4037.5,4211.0,5.7,9,,6.36,6.05,-,6.05,-,0.38,0.41,,4.74,5.20,4.11,4.59,4.12,-,100.00,,40.00,40.00,58.00,59.00,1.59,1.44,1.77,1.35,2.09,1.81,1.92,1.82,2.24,2.20,88.40,95.90,95.70,97.50,84.20,80.60,80.00,80.00,41.00,,7.00,6.62,6.84,6.60,6.83,0.81,,34.20,38.33,41.00,48.30,49.17,2328.20,2525.00,2927.00,3034.60,3389.90
Nicaragua,NIC,"6,480,532","6,572,233","6,663,924","6,755,895","6,850,540","119,990",,47.10,38.70,59.70,54.20,55.20,-,0.66,0.66,0.66,0.65,0.67,43.50,,4.63,4.50,-3.78,10.34,10.34,37.0,35.6,35.0,38.6,5866.57,5675.56,5573.87,6331.67,-3.36,10.34,,4.08,4.08,4.08,4.36,4.47,4.60,4.63,4.63,406,173.5,160.8,3.6,98,,-,4.47,4.63,4.47,4.63,-,-,,3.30,5.90,5.21,6.08,5.96,-,88.91,,12.00,5.00,32.00,18.00,-0.05,-0.47,-0.64,-0.85,-0.67,-0.84,-0.64,-1.36,-0.87,-1.24,19.00,19.50,24.20,19.00,58.90,54.80,50.00,50.00,25.80,,0.84,0.84,0.85,0.78,0.80,0.52,,45.70,45.65,45.00,47.30,50.55,86.70,81.60,76.90,79.30,77.90
Niger,NER,"21,737,922","22,577,058","23,443,393","24,333,639","25,252,722","1,266,700",,34.00,16.80,38.30,41.90,41.40,-,0.35,0.40,0.41,0.40,0.40,-,,5.00,4.00,5.94,1.35,1.39,26.9,28.5,29.6,30.0,1229.08,1276.05,1288.15,1309.81,7.21,1.35,,5.10,4.49,2.96,2.58,3.46,3.53,3.84,3.84,68,30.3,31.4,72.2,509,,6.73,3.46,3.84,3.46,3.84,41.30,41.03,,0.54,2.60,0.55,0.62,0.75,15.60,19.25,,20.00,23.00,29.00,28.00,-1.30,-1.62,-0.67,-0.61,-0.68,-0.75,-0.68,-0.40,-0.65,-0.55,32.60,35.90,30.40,32.50,49.50,54.90,40.00,40.00,30.10,,0.10,0.10,0.09,0.09,0.09,0.01,,17.00,16.96,17.00,17.00,25.90,200.20,229.60,247.60,238.30,202.40
Nigeria,NGA,"193,495,907","198,387,623","203,304,492","208,327,405","213,401,323","910,768",,48.80,22.20,39.10,38.90,34.10,41.20,0.53,0.53,0.54,0.54,0.54,26.50,,0.81,2.70,2.21,3.65,3.65,"1,009.7","1,032.0","1,013.5","1,050.5",5278.23,5352.24,5185.99,5459.16,1.92,3.65,,-,-,-,-,-,-,-,-,215,66.5,71.5,13.8,917,,-,-,-,-,-,-,-,,8.39,5.00,8.53,9.71,9.79,9.00,55.40,,25.00,20.00,25.00,23.00,-1.94,-1.78,-0.96,-1.00,-0.89,-0.93,-0.87,-0.86,-1.07,-1.07,39.60,33.80,14.40,22.70,58.50,54.40,40.00,40.00,11.00,,0.59,0.59,0.56,0.55,0.57,0.19,,5.60,5.56,3.00,7.20,3.61,1621.20,2043.10,1860.30,2567.90,4466.40
Norway,NOR,"5,276,968","5,311,916","5,347,896","5,379,475","5,408,320","304,282",,26.80,36.80,50.50,50.20,50.90,51.30,0.95,0.96,0.96,0.96,0.96,85.30,,2.32,1.60,0.75,3.92,3.88,341.8,344.3,341.9,355.3,69808.33,66799.16,62644.85,79201.23,1.12,3.92,,7.70,7.57,8.03,7.91,7.64,-,-,7.64,"6,222",8271.9,8007.4,23.6,2,,7.68,7.64,-,7.64,-,0.00,0.01,,4.16,4.80,3.69,4.42,4.99,0.20,100.00,,40.00,40.00,60.00,60.00,1.15,1.10,1.98,1.84,1.81,1.64,2.02,1.95,2.24,2.14,86.00,97.30,93.60,96.00,74.30,76.90,60.00,60.00,48.60,,7.61,7.40,7.15,7.08,6.72,0.99,,39.60,41.42,41.00,41.40,44.97,6853.30,7541.10,7542.10,7269.90,8251.70
Oman,OMN,"4,541,854","4,601,157","4,602,768","4,543,399","4,520,471","309,500",,-,21.10,-,-,-,-,0.82,0.83,0.84,0.83,0.82,62.10,,0.30,4.10,-1.13,-3.20,3.09,157.4,155.6,150.7,155.0,33373.38,32604.35,31117.76,37676.10,1.29,-3.20,,-,-,-,5.84,5.21,5.41,-,5.41,"1,636",678.0,624.7,35.3,19,,-,5.21,5.41,5.21,5.41,3.24,1.63,,2.57,17.50,1.85,2.94,3.12,-,100.00,,6.00,6.00,17.00,18.00,0.74,0.51,0.21,-0.12,0.42,0.33,0.43,0.41,0.25,0.09,57.40,27.10,51.50,53.30,61.00,56.60,60.00,60.00,50.00,,16.73,16.40,15.84,16.43,15.28,-,,1.20,1.18,2.00,2.30,2.33,6802.70,7565.30,6551.00,6095.70,5783.60
Pakistan,PAK,"216,379,655","219,731,479","223,293,280","227,196,741","231,402,117","770,875",,30.70,31.50,55.10,52.40,45.10,-,0.56,0.55,0.55,0.54,0.54,27.90,,4.43,4.20,2.50,6.03,6.49,"1,123.6","1,151.6","1,136.3","1,204.9",5420.70,5542.21,5426.02,5877.64,6.15,6.03,,2.47,2.65,3.00,2.90,-,2.51,-,2.51,134,42.9,39.5,12.3,140,,2.47,-,2.51,-,2.51,-,-,,3.92,5.90,3.54,4.30,4.35,0.60,75.38,,19.00,15.00,24.00,22.00,-2.40,-1.67,-0.58,-0.40,-0.59,-0.73,-0.72,-0.64,-0.78,-0.79,34.00,28.50,27.30,27.40,54.40,48.80,40.00,40.00,19.80,,0.78,0.85,0.92,0.85,0.88,0.33,,20.60,20.23,20.00,20.20,20.18,11461.30,11732.10,10388.30,10394.50,11304.80
Panama,PAN,"4,096,063","4,165,255","4,232,532","4,294,396","4,351,267","74,340",,50.70,39.50,60.10,58.70,57.90,-,0.79,0.81,0.82,0.80,0.81,54.50,,5.59,5.80,2.98,15.34,15.34,129.6,133.5,109.6,126.4,31780.60,32767.19,26780.30,31680.19,3.69,15.34,,-,2.84,2.85,2.88,2.88,3.13,3.91,3.91,"1,543",1131.7,1192.8,10.0,52,,-,2.88,3.91,2.88,3.91,-,10.51,,3.86,5.80,4.73,12.85,12.09,0.40,96.70,,35.00,35.00,48.00,48.00,0.39,0.29,0.01,0.16,0.39,0.19,0.04,-0.25,-0.54,-0.57,29.40,50.70,38.80,38.00,67.00,65.40,70.00,70.00,23.10,,2.70,2.67,2.47,2.42,3.14,0.67,,18.30,18.31,21.00,22.50,22.54,0.00,0.00,0.00,0.00,0.00
Papua New Guinea,PNG,"9,114,796","9,329,227","9,542,486","9,749,640","9,949,437","452,860",,50.90,-,-,-,-,-,0.54,0.55,0.56,0.56,0.56,-,,3.53,9.00,4.48,1.50,0.30,36.1,37.7,36.4,36.9,4289.68,4473.78,4285.77,4445.36,-0.28,1.50,,-,-,-,1.96,1.87,-,-,1.87,99,63.5,65.1,3.7,145,,-,1.87,-,1.87,-,-,-,,2.51,2.50,2.45,2.60,2.75,-,60.40,,25.00,23.00,38.00,39.00,-0.58,-0.58,-0.66,-0.89,-0.65,-0.83,-0.82,-0.74,-0.90,-0.76,55.10,44.20,33.10,26.20,55.70,54.60,30.00,30.00,24.50,,0.75,0.86,0.83,0.81,0.86,0.24,,0.00,0.00,0.00,0.00,0.00,80.90,80.00,91.70,85.90,88.70
Paraguay,PRY,"6,355,404","6,443,328","6,530,026","6,618,695","6,703,799","397,302",,51.70,23.30,46.50,46.90,47.60,-,0.70,0.73,0.73,0.73,0.72,46.20,,4.81,3.00,-0.40,4.20,4.10,89.2,88.9,88.1,91.8,13134.16,13147.96,13034.72,13975.86,3.20,4.20,,4.79,3.34,-,3.09,3.28,3.47,3.30,3.30,724,390.0,388.4,14.2,129,,-,3.28,3.30,3.28,3.30,-,-,,4.61,5.40,6.59,7.55,7.21,0.20,100.00,,27.00,28.00,37.00,37.00,0.12,0.00,-0.81,-0.62,-0.23,-0.21,-0.65,-0.56,-0.72,-1.01,28.20,37.90,28.30,29.50,62.10,62.90,60.00,60.00,24.40,,1.03,1.15,1.27,1.31,1.17,1.00,,13.80,15.00,15.00,16.30,16.25,348.20,386.60,375.80,364.30,372.60
Peru,PER,"31,605,486","32,203,944","32,824,861","33,304,756","33,715,471","1,279,996",,45.30,34.60,53.50,53.30,55.90,-,0.75,0.78,0.78,0.76,0.76,49.30,,2.52,3.30,2.24,13.35,13.35,408.9,418.0,372.2,421.9,13086.79,13401.01,11908.06,13895.28,3.97,13.35,,3.70,3.97,3.81,3.93,3.71,3.82,4.25,4.25,671,365.9,370.1,20.9,88,,3.69,3.71,4.25,3.71,4.25,1.42,-,,3.69,4.90,3.38,7.18,4.83,1.80,99.31,,31.00,30.00,42.00,42.00,-0.26,-0.41,-0.13,-0.26,0.42,0.08,-0.50,-0.52,-0.50,-0.63,33.50,49.70,36.60,39.70,68.70,66.50,60.00,60.00,21.90,,1.78,1.83,1.72,1.70,1.75,0.54,,27.70,27.69,30.00,26.20,40.00,2665.80,2648.70,2766.80,2653.60,2360.60
Philippines,PHL,"106,738,501","108,568,836","110,380,804","112,190,977","113,880,328","298,170",,44.40,35.00,53.60,54.90,57.10,49.30,0.70,0.71,0.72,0.71,0.70,44.50,,6.93,5.80,6.12,5.70,5.70,908.3,963.8,872.1,921.8,8719.59,9290.97,8394.24,9119.69,6.34,5.70,,2.79,3.33,3.57,4.40,3.13,3.23,3.88,3.88,323,128.6,142.1,15.7,121,,-,3.13,3.88,3.13,3.88,3.80,3.56,,2.55,5.90,2.24,2.52,2.41,0.50,96.84,,27.00,25.00,35.00,30.00,-1.24,-0.93,-0.06,0.07,0.02,0.08,-0.41,-0.64,-0.48,-0.51,38.20,25.60,34.40,34.70,65.00,61.10,60.00,60.00,18.90,,1.08,1.16,1.25,1.28,1.35,0.27,,29.50,29.45,28.00,28.00,27.96,4096.30,2842.60,3471.60,3732.70,4090.50
Poland,POL,"37,974,826","37,974,750","37,965,475","37,899,070","37,747,124","304,255",,30.80,27.50,45.00,44.30,45.00,44.90,0.87,0.88,0.88,0.88,0.88,67.70,,5.14,3.60,4.45,5.73,6.85,"1,202.8","1,259.9","1,227.9","1,298.3",31953.04,33797.77,34286.99,37502.56,5.35,5.73,,4.94,4.81,4.63,4.56,4.62,-,-,4.62,"1,704",978.7,1014.0,52.4,2,,4.91,4.62,-,4.62,-,2.16,1.14,,4.89,6.20,3.28,3.16,3.37,0.10,100.00,,36.00,34.00,49.00,47.00,0.52,0.51,0.63,0.29,0.88,0.84,0.47,0.44,0.73,0.57,56.60,54.70,50.90,60.60,68.50,68.70,70.00,70.00,41.70,,7.61,7.90,8.24,8.21,7.77,0.15,,28.00,28.04,29.00,28.70,28.32,9870.70,12040.70,11786.20,13718.30,13710.70
Portugal,PRT,"10,300,300","10,283,822","10,286,263","10,297,081","10,325,147","91,470",,33.90,24.80,45.60,46.10,46.30,47.00,0.85,0.86,0.87,0.86,0.87,70.80,,3.51,1.50,2.68,4.88,5.48,350.1,359.5,329.1,345.2,34928.54,36172.07,34177.09,35888.17,2.85,4.88,,5.12,4.89,-,5.02,4.68,-,-,4.68,"2,661",2216.3,2221.4,16.2,8,,5.12,4.68,-,4.68,-,0.42,0.36,,8.87,11.20,6.46,6.79,6.65,0.20,100.00,,39.00,39.00,58.00,56.00,1.08,0.95,1.33,0.99,0.91,0.74,1.13,1.13,0.87,0.77,70.10,92.10,56.80,67.80,63.40,70.80,60.00,60.00,48.40,,4.81,4.72,5.18,4.81,4.34,0.50,,34.80,34.78,39.00,40.00,40.00,3675.70,4273.80,4275.60,4303.00,4908.90
Qatar,QAT,"2,711,755","2,766,732","2,807,235","2,760,385","2,688,235","11,586",,-,-,-,-,24.30,-,0.86,0.85,0.86,0.85,0.86,70.80,,-1.50,3.30,0.77,1.52,1.59,253.0,255.0,245.7,249.5,93143.35,93844.06,89961.43,93521.44,1.23,1.52,,3.61,-,-,2.97,-,2.80,3.23,3.23,"3,900",1730.2,1807.2,5.6,9,,3.61,-,3.23,-,3.23,1.34,1.92,,0.14,0.20,0.10,0.21,0.26,-,100.00,,7.00,7.00,17.00,18.00,0.55,0.96,0.74,1.11,0.42,0.86,0.72,0.93,0.73,0.81,59.80,38.80,71.60,60.00,72.60,67.70,60.00,60.00,36.40,,35.11,33.49,32.28,31.24,32.47,-,,0.00,9.76,10.00,9.80,4.44,-,-,-,-,11593.40
Romania,ROU,"19,588,715","19,473,970","19,371,648","19,265,250","19,119,880","229,891",,27.30,28.80,48.50,47.60,46.20,-,0.81,0.83,0.83,0.82,0.82,60.00,,8.20,3.70,3.85,5.88,5.10,555.5,578.7,557.0,589.8,29342.04,31867.26,32202.21,35413.99,4.47,5.88,,3.12,3.11,2.98,3.10,3.34,-,-,3.34,"1,090",687.2,738.6,4.4,19,,3.13,3.34,-,3.34,-,12.50,12.68,,4.93,6.40,3.91,5.03,5.17,0.80,100.00,,35.00,35.00,49.00,48.00,0.06,0.53,-0.17,-0.13,0.49,0.31,0.39,0.41,-0.03,-0.04,59.70,64.80,40.00,45.40,69.40,67.10,50.00,50.00,33.20,,3.70,3.63,3.79,3.86,3.82,0.41,,20.70,20.67,22.00,21.90,18.54,3622.10,4359.00,4613.00,5052.30,5563.30
Russia,RUS,"144,496,739","144,477,859","144,406,261","144,073,139","143,449,286","16,377,742",,41.20,18.70,35.40,35.10,34.90,35.10,0.82,0.84,0.85,0.83,0.82,57.00,,1.83,-3.70,2.20,4.82,4.75,"3,914.0","4,000.0","3,892.7","4,080.3",28821.26,30067.74,29916.01,32803.36,2.81,4.82,,4.01,3.83,3.76,4.69,4.68,-,-,4.68,"1,414",609.0,653.4,30.3,17,,-,4.68,-,4.68,-,0.16,0.07,,5.21,5.70,4.50,5.59,5.01,-,100.00,,5.00,5.00,15.00,14.00,-0.67,-0.65,-0.08,-0.18,-0.48,-0.53,-0.79,-0.87,-0.89,-0.90,46.90,34.70,38.10,29.70,58.20,56.10,30.00,30.00,35.30,,11.05,10.89,11.04,11.50,11.80,0.17,,15.80,15.78,16.00,15.80,16.22,66913.00,61609.20,65201.30,61712.50,65907.70
Rwanda,RWA,"12,230,339","12,531,808","12,835,028","13,146,362","13,461,888","24,668",,50.40,19.60,37.40,41.10,39.20,-,0.52,0.53,0.53,0.53,0.53,38.00,,3.98,6.90,9.46,10.88,10.88,25.7,28.1,27.2,30.1,2138.65,2321.53,2213.57,2494.05,8.58,10.88,,4.20,3.65,3.44,3.13,3.07,3.24,3.33,3.82,143,52.3,51.4,31.8,248,,-,3.07,3.82,3.07,3.82,4.32,6.34,,1.14,2.50,1.10,1.49,1.61,-,100.00,,8.00,8.00,15.00,14.00,0.04,0.17,0.26,0.26,0.15,0.07,0.13,0.20,0.63,0.60,79.60,26.60,61.20,54.70,69.10,57.10,40.00,40.00,27.20,,0.08,0.10,0.10,0.10,0.11,0.50,,61.30,61.25,61.00,61.30,61.25,115.70,119.00,124.10,147.90,164.00
Saudi Arabia,SAU,"34,193,122","35,018,133","35,827,362","35,997,107","35,950,396","2,149,690",,45.90,-,39.60,40.10,41.60,42.00,0.85,0.87,0.87,0.87,0.88,62.60,,-0.74,3.40,0.33,3.24,3.24,"1,605.3","1,610.6","1,544.0","1,594.0",48767.84,48983.55,46778.30,49551.33,2.51,3.24,,-,-,8.51,8.02,7.09,6.79,7.81,7.81,"3,121",1341.5,1316.3,39.9,17,,-,7.09,7.81,7.09,7.81,-,5.18,,5.89,5.50,5.67,7.45,7.36,-,100.00,,0.00,1.00,7.00,6.00,-0.62,-0.58,0.25,0.50,0.00,0.34,0.10,0.23,0.36,0.31,60.20,35.80,49.90,50.70,59.60,55.50,50.00,50.00,40.00,,17.26,16.80,15.94,14.89,15.28,0.00,,19.90,19.87,20.00,19.90,19.87,70400.00,74612.30,65362.70,64558.40,55564.30
Senegal,SEN,"15,157,793","15,574,909","16,000,781","16,436,120","16,876,720","192,530",,40.30,21.90,45.40,46.00,51.20,-,0.51,0.51,0.51,0.51,0.51,38.40,,7.39,6.50,4.61,6.06,6.06,52.5,54.9,55.6,59.0,3388.55,3510.42,3503.60,3768.67,6.21,6.06,,5.72,5.46,5.11,4.62,4.86,5.35,5.50,5.50,97,61.8,59.1,1.8,315,,7.40,4.86,5.50,4.86,5.50,-,24.64,,3.69,9.50,2.86,3.62,3.72,1.80,70.37,,31.00,29.00,44.00,39.00,-0.04,-0.17,-0.32,0.06,-0.15,-0.31,-0.15,-0.36,-0.09,0.06,40.40,49.80,42.60,47.80,55.70,60.00,40.00,40.00,30.20,,0.65,0.69,0.65,0.65,0.65,0.11,,41.80,41.82,42.00,43.00,43.03,305.40,385.10,356.80,345.60,474.00
Serbia,SRB,"7,020,858","6,982,604","6,945,235","6,899,126","6,834,326","77,474",,38.70,29.00,45.70,51.20,53.20,53.50,0.79,0.81,0.81,0.80,0.80,54.90,,2.10,0.70,4.33,7.39,7.55,121.9,127.1,125.9,135.3,17717.91,18822.36,19093.96,21432.41,4.50,7.39,,3.93,3.79,3.63,3.71,3.58,3.62,-,3.58,"1,324",617.1,641.0,50.3,12,,4.18,3.58,3.62,3.58,3.62,1.43,2.89,,13.48,16.50,10.39,9.01,11.81,1.20,100.00,,28.00,21.00,45.00,41.00,0.10,-0.13,0.19,0.05,0.01,0.05,-0.19,-0.09,-0.37,-0.44,48.20,50.40,36.50,37.90,62.50,65.20,50.00,50.00,44.50,,6.40,6.60,6.74,6.61,6.62,0.28,,34.40,34.40,38.00,38.80,39.20,801.70,817.70,1143.80,1121.20,1270.80
Sierra Leone,SLE,"7,677,565","7,861,281","8,046,828","8,233,970","8,420,641","71,620",,34.00,15.30,32.10,33.60,29.00,-,0.42,0.47,0.48,0.48,0.48,32.90,,4.19,-21.50,5.25,3.05,4.10,12.7,13.3,13.1,13.5,1694.13,1777.16,1726.96,1816.17,3.46,3.05,,2.66,3.06,3.06,4.66,6.99,7.45,8.81,8.81,256,44.3,46.2,11.1,1120,,2.66,6.99,8.81,6.99,8.81,-,-,,4.66,3.00,4.65,5.20,5.33,6.00,26.20,,28.00,28.00,38.00,37.00,0.03,-0.16,-1.21,-1.11,-0.92,-0.96,-0.79,-0.82,-0.59,-0.43,29.60,41.90,22.00,32.40,51.80,52.00,20.00,20.00,18.40,,0.12,0.12,0.12,0.11,0.12,0.63,,12.40,12.33,12.00,12.30,12.33,39.60,29.60,27.40,22.40,27.30
Singapore,SGP,"5,612,253","5,638,676","5,703,569","5,685,807","5,453,566",709,,45.90,-,44.60,45.10,45.50,-,0.93,0.94,0.94,0.94,0.94,81.80,,4.66,2.00,1.10,7.61,7.61,554.5,560.6,537.3,578.3,100686.24,102431.32,99681.29,116486.47,3.66,7.61,,2.92,2.86,2.87,2.77,2.86,2.74,2.51,2.51,"3,681",2667.7,2632.7,16.6,8,,-,2.86,2.51,2.86,2.51,0.20,0.10,,4.20,1.80,3.10,4.10,3.62,-,100.00,,19.00,19.00,33.00,28.00,1.59,1.49,2.21,2.29,2.12,2.23,1.82,1.86,2.13,2.17,90.90,58.30,91.20,92.80,88.80,84.40,80.00,80.00,17.70,,8.21,8.22,8.76,8.41,8.31,0.03,,23.00,23.00,23.00,29.50,29.81,10178.70,10581.90,10402.60,9978.60,11115.30
Slovakia,SVK,"5,439,232","5,446,771","5,454,147","5,458,827","5,447,247","48,105",,23.70,28.20,46.40,45.90,46.60,49.70,0.86,0.86,0.86,0.86,0.85,67.40,,2.94,3.60,2.52,3.02,3.01,169.7,174.1,166.5,171.6,31214.59,31966.55,31356.46,33010.29,3.79,3.02,,4.23,4.59,3.91,3.94,3.97,-,-,3.97,"2,062",1299.9,1342.1,1.8,5,,4.23,3.97,-,3.97,-,4.43,3.29,,8.13,10.00,5.75,6.69,6.74,0.10,100.00,,36.00,37.00,53.00,53.00,0.88,0.56,0.81,0.53,0.82,0.87,0.57,0.71,0.22,0.24,38.80,71.90,38.20,53.70,65.30,69.70,70.00,70.00,43.10,,5.67,5.80,6.17,6.06,5.70,0.24,,20.00,20.00,20.00,22.70,22.67,1049.10,1296.00,1802.50,2047.20,1983.20
Slovenia,SVN,"2,066,388","2,073,894","2,088,385","2,102,419","2,108,079","20,151",,24.40,24.60,45.80,45.80,47.90,48.70,0.90,0.92,0.92,0.91,0.92,72.60,,4.82,2.90,3.45,8.11,8.21,78.8,81.3,77.9,84.2,38961.54,40670.88,39725.26,43624.67,4.42,8.11,,5.29,4.91,4.79,4.78,4.94,-,-,4.94,"2,734",2169.6,2219.1,2.1,7,,5.29,4.94,-,4.94,-,0.23,0.11,,6.56,8.70,4.45,4.97,4.42,-,100.00,,39.00,38.00,54.00,52.00,0.89,0.76,1.17,1.18,0.58,0.83,1.02,1.03,0.81,0.72,57.70,91.60,52.10,66.70,64.80,70.50,50.00,50.00,47.90,,6.37,6.73,6.83,6.78,6.51,0.31,,36.70,24.44,28.00,27.80,26.67,473.80,529.50,572.90,567.70,734.40
Solomon Islands,SLB,"643,634","659,249","674,993","691,191","707,851","27,986",,-,-,-,-,-,-,0.55,0.57,0.57,0.57,0.56,-,,3.08,3.30,1.75,-0.18,-0.20,833.9,850.9,801.9,832.1,2761.60,2772.80,2618.32,2656.10,3.94,-0.18,,9.81,10.13,12.00,12.11,10.81,11.13,12.75,12.75,173,96.4,111.9,80.1,104,,-,10.81,12.75,10.81,12.75,4.38,6.65,,0.71,31.40,0.75,0.92,1.03,-,73.35,,28.00,30.00,44.00,49.00,0.21,0.49,-1.01,-0.91,-0.80,-0.86,-0.21,-0.35,0.11,-0.14,57.30,59.50,36.80,42.30,57.50,56.50,30.00,30.00,46.30,,0.51,0.57,0.54,0.55,0.54,-,,2.00,2.04,4.00,6.40,8.00,-,-,-,-,-
Somalia,SOM,"14,864,221","15,411,094","15,981,300","16,537,016","17,065,581","627,337",,-,-,-,-,-,-,-,-,-,-,-,-,,2.35,3.70,7.46,3.33,4.05,1.8,1.8,1.7,1.7,1156.52,1236.52,1245.64,1302.45,7.68,3.33,,-,-,-,-,-,-,-,-,-,-,-,4.9,829,,-,-,-,-,-,-,-,,18.88,6.60,18.83,19.72,19.86,-,49.73,,1.00,1.00,6.00,6.00,-2.33,-2.68,-2.21,-2.05,-2.29,-1.82,-2.31,-2.27,-1.72,-1.78,25.40,-,17.80,-,-,-,-,-,-,,0.05,0.05,0.04,0.04,0.04,0.01,,24.40,24.36,24.00,24.40,24.36,61.80,76.60,71.70,98.20,113.50
South Africa,ZAF,"56,641,209","57,339,635","58,087,055","58,801,927","59,392,255","1,214,470",,62.50,15.90,32.60,35.00,36.20,34.30,0.70,0.73,0.74,0.73,0.71,38.50,,1.16,1.30,0.30,4.91,4.91,17.0,18.3,18.8,19.4,14207.43,14288.59,13359.48,14420.17,1.49,4.91,,5.49,5.48,5.44,5.60,5.64,5.92,6.19,6.19,"1,086",564.5,546.7,41.7,119,,6.05,5.64,6.19,5.64,6.19,11.01,10.79,,27.04,25.90,28.47,29.22,33.56,-,84.39,,32.00,33.00,46.00,46.00,-0.27,-0.71,0.28,-0.02,0.23,-0.07,-0.01,0.13,-0.01,0.02,65.90,61.30,45.40,48.40,63.00,56.20,50.00,50.00,32.60,,7.60,7.53,7.69,7.58,7.51,0.02,,42.00,42.75,46.00,46.80,46.58,3591.50,3622.90,3435.40,3231.00,3265.60
South Sudan,SSD,"10,658,226","10,395,329","10,447,666","10,606,227","10,748,272","644,329",,46.00,-,-,-,-,-,0.39,0.40,0.39,0.39,0.39,-,,-,-,-,-,-,801.9,802.8,751.2,788.1,-,-,-,1181.90,-,-,,1.23,1.47,1.54,-,-,-,-,-,71,26.7,22.6,50.3,1150,,1.71,-,-,-,-,-,-,,12.25,-,12.23,14.03,13.91,-,7.24,,-2.00,-3.00,4.00,4.00,-2.46,-2.30,-2.48,-2.38,-1.94,-1.98,-1.94,-2.05,-1.71,-1.82,-,-,-,-,-,-,-,-,-,,0.18,0.16,0.14,0.15,0.15,0.01,,28.50,28.46,28.00,28.50,32.36,72.40,149.10,186.50,128.90,170.40
Spain,ESP,"46,593,236","46,797,754","47,134,837","47,365,655","47,415,750","498,980",,35.90,36.00,51.60,52.90,52.30,54.90,0.89,0.90,0.91,0.90,0.91,71.80,,2.98,3.20,1.98,5.13,5.52,"1,883.9","1,923.2","1,715.1","1,803.0",40696.39,41695.15,37756.35,40775.28,2.29,5.13,,4.30,4.29,4.23,4.21,4.18,-,-,-,"3,183",2740.3,2711.2,1.7,4,,4.28,4.18,-,4.18,-,3.08,2.80,,17.22,19.40,14.10,15.53,14.73,0.60,100.00,,38.00,37.00,56.00,53.00,0.27,0.58,1.03,0.95,0.94,0.81,1.01,0.88,0.49,0.74,62.00,74.30,51.50,67.20,65.10,68.20,70.00,70.00,43.70,,5.52,5.31,5.65,5.49,5.09,0.36,,39.10,39.14,44.00,44.00,43.43,16043.50,17823.30,17189.30,17431.80,19544.50
